Intel(R) Optimized LINPACK Benchmark data

Current date/time: Mon Mar 14 22:49:11 2016

CPU frequency:    1.895 GHz
Number of CPUs: 1
Number of cores: 2
Number of threads: 2

Parameters are set to:

Number of tests: 12

Number of equations to solve (problem size) : 1000  2000  3000  4000  5000  10000 15000 20000 25000 30000 35000 40000
Leading dimension of array                  : 1000  2000  3000  4000  5000  10000 15000 20000 25000 30000 35000 40000
Number of trials to run                     : 4     4     4     4     4     2     2     2     2     1     1     1    
Data alignment value (in Kbytes)            : 4     4     4     4     4     4     4     4     4     4     4     4    
Maximum memory requested that can be used=3200404096, at the size=20000

=================== Timing linear equation system solver ===================

Size   LDA    Align. Time(s)    GFlops   Residual     Residual(norm) Check
1000   1000   4      0.031      21.7953  8.866796e-13 3.023805e-02   pass
1000   1000   4      0.033      20.4465  8.866796e-13 3.023805e-02   pass
1000   1000   4      0.035      18.8529  8.866796e-13 3.023805e-02   pass
1000   1000   4      0.035      18.9184  8.866796e-13 3.023805e-02   pass
2000   2000   4      0.150      35.5167  3.990745e-12 3.471459e-02   pass
2000   2000   4      0.152      35.0766  3.990745e-12 3.471459e-02   pass
2000   2000   4      0.152      35.0309  3.990745e-12 3.471459e-02   pass
2000   2000   4      0.148      36.0623  3.990745e-12 3.471459e-02   pass
3000   3000   4      0.501      35.9849  8.269468e-12 3.184374e-02   pass
3000   3000   4      0.502      35.8967  8.269468e-12 3.184374e-02   pass
3000   3000   4      0.509      35.3675  8.269468e-12 3.184374e-02   pass
3000   3000   4      0.502      35.9030  8.269468e-12 3.184374e-02   pass
4000   4000   4      1.130      37.7936  2.115524e-11 4.610986e-02   pass
4000   4000   4      1.131      37.7430  2.115524e-11 4.610986e-02   pass
4000   4000   4      1.136      37.5715  2.115524e-11 4.610986e-02   pass
4000   4000   4      1.121      38.0937  2.115524e-11 4.610986e-02   pass
5000   5000   4      2.022      41.2460  2.969028e-11 4.140070e-02   pass
5000   5000   4      2.021      41.2672  2.969028e-11 4.140070e-02   pass
5000   5000   4      2.051      40.6589  2.969028e-11 4.140070e-02   pass
5000   5000   4      2.030      41.0800  2.969028e-11 4.140070e-02   pass
10000  10000  4      15.834     42.1150  9.851375e-11 3.473695e-02   pass
10000  10000  4      15.677     42.5367  9.851375e-11 3.473695e-02   pass
